id,z_battle_stage_id,enemy_name,enemy_nickname,enemy_resource_id,params,created_at,updated_at
122000,122,Future Saga,Extreme Z-Battle,1028341,"{""lwf"":{""event_top_chara"":{""x"":-40,""y"":-126,""scale"":0.93},""anime_start"":{""x"":-40,""y"":-126,""scale"":0.93},""anime_end"":{""x"":-40,""y"":-146,""scale"":0.93},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-4,""y"":-20,""scale"":0.89}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
123000,123,Goku Black,Epitome of Sublime Beauty,1028441,"{""lwf"":{""event_top_chara"":{""x"":-20,""y"":-134,""scale"":1.09},""anime_start"":{""x"":-20,""y"":-134,""scale"":1.09},""anime_end"":{""x"":118,""y"":-230,""scale"":1.09},""shadow"":{""x"":-152,""y"":314,""scale"":0.88},""start_chara"":{""x"":-6,""y"":4,""scale"":0.98}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
124000,124,Goku Black (Super Saiyan Rosé),Mark of Almighty Power,1028451,"{""lwf"":{""event_top_chara"":{""x"":4,""y"":-288,""scale"":1.24},""anime_start"":{""x"":4,""y"":-288,""scale"":1.24},""anime_end"":{""x"":134,""y"":-380,""scale"":1.24},""shadow"":{""x"":-108,""y"":122,""scale"":0.88},""start_chara"":{""x"":-6,""y"":-14,""scale"":0.96}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
125000,125,Jiren,Absolute Power,1013941,"{""lwf"":{""event_top_chara"":{""x"":-14,""y"":-154,""scale"":0.94},""anime_start"":{""x"":-14,""y"":-154,""scale"":0.94},""anime_end"":{""x"":136,""y"":-242,""scale"":0.94},""shadow"":{""x"":-152,""y"":338,""scale"":0.65},""start_chara"":{""x"":-10,""y"":-40,""scale"":0.89}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
126000,126,Dragon Ball Heroes Edition 3,Extreme Z-Battle,1028611,"{""lwf"":{""event_top_chara"":{""x"":-16,""y"":62,""scale"":0.91},""anime_start"":{""x"":-16,""y"":62,""scale"":0.91},""anime_end"":{""x"":-16,""y"":6,""scale"":0.91},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":32,""y"":54,""scale"":1.13}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
127000,127,Nappa/Vegeta,Rampaging Vicious Saiyans,1028661,"{""lwf"":{""event_top_chara"":{""x"":62,""y"":-88,""scale"":0.85},""anime_start"":{""x"":62,""y"":-88,""scale"":0.85},""anime_end"":{""x"":62,""y"":-128,""scale"":0.85},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-2,""y"":-6,""scale"":0.92}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
128000,128,Androids #17 & #18/Android #16,The Androids' Journey,1028941,"{""lwf"":{""event_top_chara"":{""x"":-2,""y"":-194,""scale"":1.05},""anime_start"":{""x"":-2,""y"":-194,""scale"":1.05},""anime_end"":{""x"":-2,""y"":-242,""scale"":1.05},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":4,""y"":6,""scale"":0.9}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
129000,129,Android #13,Foe Elimination Circuit,1028911,"{""lwf"":{""event_top_chara"":{""x"":38,""y"":-384,""scale"":1.65},""anime_start"":{""x"":38,""y"":-384,""scale"":1.65},""anime_end"":{""x"":170,""y"":-470,""scale"":1.65},""shadow"":{""x"":-44,""y"":-160,""scale"":1.22},""start_chara"":{""x"":14,""y"":28,""scale"":1.07}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
130000,130,Super Saiyan 3 Goku,Golden Fist,1012721,"{""lwf"":{""event_top_chara"":{""x"":116,""y"":-138,""scale"":1.16},""anime_start"":{""x"":116,""y"":-138,""scale"":1.16},""anime_end"":{""x"":282,""y"":-238,""scale"":1.16},""shadow"":{""x"":74,""y"":340,""scale"":0.88},""start_chara"":{""x"":76,""y"":8,""scale"":1.07}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
131000,131,Goku (Ultra Instinct -Sign-),Sign of a Turnaround,1019821,"{""lwf"":{""event_top_chara"":{""x"":-2,""y"":-40,""scale"":0.98},""anime_start"":{""x"":-2,""y"":-40,""scale"":0.98},""anime_end"":{""x"":146,""y"":-156,""scale"":0.98},""shadow"":{""x"":-136,""y"":556,""scale"":0.75},""start_chara"":{""x"":-8,""y"":-24,""scale"":1.01}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
132000,132,Kefla,Transcendent Height,1028931,"{""lwf"":{""event_top_chara"":{""x"":-102,""y"":178,""scale"":0.7},""anime_start"":{""x"":-102,""y"":178,""scale"":0.7},""anime_end"":{""x"":28,""y"":58,""scale"":0.7},""shadow"":{""x"":-334,""y"":886,""scale"":0.51},""start_chara"":{""x"":-108,""y"":-10,""scale"":1.0}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
136000,136,Super Vegeta,Tenacious Secret Plan,1022651,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":152,""scale"":0.75},""anime_start"":{""x"":0,""y"":152,""scale"":0.75},""anime_end"":{""x"":116,""y"":36,""scale"":0.75},""shadow"":{""x"":-92,""y"":976,""scale"":0.52},""start_chara"":{""x"":-10,""y"":6,""scale"":0.9}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
138000,138,Bardock,Raging Counterattack,1029601,"{""lwf"":{""event_top_chara"":{""x"":92,""y"":128,""scale"":0.95},""anime_start"":{""x"":92,""y"":128,""scale"":0.95},""anime_end"":{""x"":254,""y"":30,""scale"":0.95},""shadow"":{""x"":112,""y"":836,""scale"":0.71},""start_chara"":{""x"":6,""y"":40,""scale"":0.94}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
139000,139,Gotenks,Astounding Fusion Power,1029521,"{""lwf"":{""event_top_chara"":{""x"":10,""y"":142,""scale"":0.76},""anime_start"":{""x"":10,""y"":142,""scale"":0.76},""anime_end"":{""x"":158,""y"":38,""scale"":0.76},""shadow"":{""x"":-102,""y"":900,""scale"":0.44},""start_chara"":{""x"":-4,""y"":-44,""scale"":0.92}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
140000,140,Goku & Vegeta (Angel),Fused Hope,1029531,"{""lwf"":{""event_top_chara"":{""x"":2,""y"":-30,""scale"":0.93},""anime_start"":{""x"":2,""y"":-30,""scale"":0.93},""anime_end"":{""x"":2,""y"":-86,""scale"":0.93},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-18,""y"":16,""scale"":0.91}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
141000,141,Majin Buu (Gotenks),Invincible Absorption,1029541,"{""lwf"":{""event_top_chara"":{""x"":50,""y"":-318,""scale"":1.36},""anime_start"":{""x"":50,""y"":-318,""scale"":1.36},""anime_end"":{""x"":184,""y"":-412,""scale"":1.36},""shadow"":{""x"":-116,""y"":-30,""scale"":1.03},""start_chara"":{""x"":-32,""y"":-10,""scale"":0.95}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
142000,142,Majin Buu (Good)/Majin Buu (Pure Evil),Split Into Good and Evil,1029801,"{""lwf"":{""event_top_chara"":{""x"":-58,""y"":-48,""scale"":0.93},""anime_start"":{""x"":-58,""y"":-48,""scale"":0.93},""anime_end"":{""x"":-58,""y"":-116,""scale"":0.93},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":14,""y"":-26,""scale"":0.99}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
144000,144,Gohan (Teen),Power Beyond the Extremes,1029791,"{""lwf"":{""event_top_chara"":{""x"":-32,""y"":102,""scale"":0.94},""anime_start"":{""x"":-32,""y"":102,""scale"":0.94},""anime_end"":{""x"":126,""y"":38,""scale"":0.94},""shadow"":{""x"":-338,""y"":778,""scale"":0.75},""start_chara"":{""x"":16,""y"":58,""scale"":1.02}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
701000,701,Super Saiyan 3 Goku,Mystery Super Technique,1003210,"{""lwf"":{""event_top_chara"":{""x"":-18,""y"":218,""scale"":0.78},""anime_start"":{""x"":-18,""y"":218,""scale"":0.78},""anime_end"":{""x"":130,""y"":132,""scale"":0.78},""shadow"":{""x"":-268,""y"":978,""scale"":0.62},""start_chara"":{""x"":0,""y"":0,""scale"":1.0}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
702000,702,Super Saiyan 3 Gotenks,Grim Reaper of Justice's Rampage,1006211,"{""lwf"":{""event_top_chara"":{""x"":42,""y"":42,""scale"":0.79},""anime_start"":{""x"":42,""y"":42,""scale"":0.79},""anime_end"":{""x"":184,""y"":26,""scale"":0.79},""shadow"":{""x"":-64,""y"":782,""scale"":0.52},""start_chara"":{""x"":-2,""y"":-14,""scale"":1.14}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
703000,703,Buu (Kid),Heartless Destruction,1003311,"{""lwf"":{""event_top_chara"":{""x"":-36,""y"":-118,""scale"":1.13},""anime_start"":{""x"":-36,""y"":-118,""scale"":1.13},""anime_end"":{""x"":124,""y"":-148,""scale"":1.09},""shadow"":{""x"":-278,""y"":300,""scale"":0.86},""start_chara"":{""x"":0,""y"":2,""scale"":1.05}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
704000,704,Goku Black,Dark Menace,1008851,"{""lwf"":{""event_top_chara"":{""x"":-48,""y"":-56,""scale"":1.1},""anime_start"":{""x"":-48,""y"":-56,""scale"":1.1},""anime_end"":{""x"":124,""y"":-170,""scale"":1.08},""shadow"":{""x"":-352,""y"":530,""scale"":0.88},""start_chara"":{""x"":0,""y"":0,""scale"":1.14}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
