id,name,description
102127,Confidence in the New Secret Move,"""Worthy Rivals"" or 
""World Tournament"" Category 
Ki +2 and HP, ATK & DEF +100%"
102128,Hellish Mutation,"""Corroded Body and Mind"" Category 
Ki +2 and HP, ATK & DEF +140%; or 
Extreme Class Ki +2 and HP, ATK & DEF +110%"
102129,Otherworld in Collapse,"""Corroded Body and Mind"" Category 
Ki +3 and HP, ATK & DEF +170%; or 
Extreme Class Ki +3 and HP, ATK & DEF +130%"
102131,The Might of Twelve Eyes,"""Worthy Rivals"" or 
""World Tournament"" Category 
Ki +3 and HP, ATK & DEF +130%"
102132,Otherworld Martial Artist's Calling,"""Connected Hope"" Category 
Ki +2 and HP, ATK & DEF +140%; or 
Super Class Ki +2 and HP, ATK & DEF +110%"
102133,Righteous Otherworld Defense,"""Connected Hope"" Category 
Ki +3 and HP, ATK & DEF +170%; or 
Super Class Ki +3 and HP, ATK & DEF +130%"
102134,Leader of Team Universe 7,"""Bond of Master and Disciple"" Category 
Ki +2 and HP, ATK & DEF +100%"
102135,Bond Forged by Master and Disciple,"""Bond of Master and Disciple"" Category 
Ki +3 and HP, ATK & DEF +130%"
102136,Plot to Trick the Gods,"""Battle of Wits"" Category 
Ki +2 and HP, ATK & DEF +100%"
102137,Joint Struggle for Survival,"""Battle of Wits"" Category 
Ki +3 and HP, ATK & DEF +130%"
102138,Plan for the Final Battle,"INT Type Ki +1 and HP, ATK & DEF +25%"
102139,Limit-Breaking Challenge,"""Giant Ape Power"" Category 
Ki +3 and HP, ATK & DEF +50%; or 
INT Type Ki +2 and HP, ATK & DEF +30%"
102141,Survival on a Razor Edge,"""Universe Survival Saga"" Category 
Ki +2 and HP, ATK & DEF +100%"
102142,Critical Contest,"""Universe Survival Saga"" Category 
Ki +3 and HP, ATK & DEF +120%"
102143,Very Last Possibility,"""Universe Survival Saga"" or 
""Joined Forces"" Category 
Ki +3 and HP, ATK & DEF +150%"
102144,Power Demonstrated in Clashes,"""Giant Form"" Category 
Ki +4 and HP, ATK & DEF +50%; or 
AGL Type Ki +3 and HP, ATK & DEF +50%"
102145,Battle Expert,"All Types Ki +3 and HP, ATK & DEF +30%"
102146,Fighting Park Ranger,"""Representatives of Universe 7"" Category 
Ki +2 and HP, ATK & DEF +100%; 
or Super INT Type Ki +2 and HP, ATK & DEF +70%"
102147,Battle Fought for Someone,"""Representatives of Universe 7"" Category 
Ki +3 and HP, ATK & DEF +120%; 
or Super INT Type Ki +3 and HP, ATK & DEF +90%"
102148,Universe 7's All-Out Offensive,"""Representatives of Universe 7"" Category 
Ki +4 and HP, ATK & DEF +150%; 
or Super INT Type Ki +4 and HP, ATK & DEF +100%"
102149,All-Out Showdown!,"""Goku's Family"" Category 
Ki +4 and HP, ATK & DEF +44%; or 
Super Class Ki +2 and HP, ATK & DEF +22%"
102150,Saiyan Strike!,"""Vegeta's Family"" Category 
Ki +4 and HP, ATK & DEF +44%; or 
Extreme Class Ki +2 and HP, ATK & DEF +22%"
102151,An Aerial Stroll on Christmas Eve,"Guarantees Super Attack to level up by 1 
in Training"
102153,Martial Artists' Readiness,"""Earthlings"" Category 
Ki +2 and HP, ATK & DEF +30%"
102154,Teamwork Across Schools,"""Earthlings"" Category 
Ki +3 and HP, ATK & DEF +50%"
102155,Blunder of the Century,"""Fusion"" Category 
Ki +2 and HP, ATK & DEF +30%"
102156,30 Minutes of Mayhem,"""Fusion"" Category 
Ki +3 and HP, ATK & DEF +50%"
102160,"The Older, The Wiser","""Turtle School"" Category 
Ki +2 and HP, ATK & DEF +30%"
102161,Experience-Leveraging Role,"""Turtle School"" Category 
Ki +2 and HP, ATK & DEF +50%"
102162,Shattering the Limit of Spirit and Tenacity,"""Turtle School"" Category 
Ki +3 and HP, ATK & DEF +80%"
102163,Fruits of Training With Family,"""Joined Forces"" Category 
Ki +2 and HP, ATK & DEF +30%"
102164,Power of a Perfectly Matched Couple,"""Joined Forces"" Category 
Ki +3 and HP, ATK & DEF +50%"
102165,Driving with Mom,"""Vegeta's Family"" Category 
Ki +4 and HP, ATK & DEF +120%"
102166,Uncontrollable Power,"""Planetary Destruction"" or 
""Movie Bosses"" Category Ki +2, 
HP +100% and ATK & DEF +140%"
102167,Instinctive Destruction,"""Planetary Destruction"" or 
""Movie Bosses"" Category Ki +3, 
HP +130% and ATK & DEF +170%"
102168,Innocent Pair,"""Gifted Warriors"" or 
""Kamehameha"" Category Ki +2, 
HP & ATK +140% and DEF +100%"
102169,Pint-Sized Super Warriors,"""Gifted Warriors"" or 
""Kamehameha"" Category Ki +3, 
HP & ATK +170% and DEF +130%"
102170,New Instinct of the Awakened One,"""Universe Survival Saga"" Category 
Ki +2 and HP, ATK & DEF +50%"
102171,Courageous Punch,"""Hybrid Saiyans"" Category 
Ki +3 and HP, ATK & DEF +100%"
102172,Counterattack of Light,"""Hybrid Saiyans"" Category 
Ki +4 and HP, ATK & DEF +120%"
102175,Secret Animosity,"PHY Type Ki +2 and HP, ATK & DEF +50%"
102177,Goku's Posthumous Son,"""Gifted Warriors"" Category 
Ki +2 and HP, ATK & DEF +100%"
102178,Vigorous Strength,"""Gifted Warriors"" Category 
Ki +3 and HP, ATK & DEF +120%"
102180,Strong and Adorable High Schooler,"""Defenders of Justice"" or 
""Peppy Gals"" Category 
Ki +3 and HP, ATK & DEF +140%"
102181,Ally of Love and Friendship,"""Defenders of Justice"" or 
""Peppy Gals"" Category 
Ki +4 and HP, ATK & DEF +170%"
102184,Urgent Call for Heroes,"""Defenders of Justice"" Category 
Ki +1 and HP, ATK & DEF +30%"
102185,Outstanding Performance,"""Defenders of Justice"" Category 
Ki +2 and HP, ATK & DEF +50%"
102186,Comrade's Intuition,"""Saviors"" Category 
Ki +2 and HP, ATK & DEF +100%"
102187,Frontline Courage,"""Saviors"" Category 
Ki +3 and HP, ATK & DEF +120%"
102188,Destroyers Born of Dragon Balls,"""GT Bosses"" Category 
Ki +3 and HP, ATK & DEF +130%"
102189,Imperial Restoration,"""Revenge"" Category 
Ki +2 and HP, ATK & DEF +30%"
102190,Mass Rebellion,"""Revenge"" Category 
Ki +3 and HP, ATK & DEF +50%"
102191,Brimming with Courage,"""GT Heroes"" Category 
Ki +2 and HP, ATK & DEF +140%; 
or ""Goku's Family"" Category 
Ki +2 and HP, ATK & DEF +120%"
102192,Battle to Become the Strongest,"""GT Heroes"" Category 
Ki +3 and HP, ATK & DEF +170%; 
or ""Goku's Family"" Category 
Ki +3 and HP, ATK & DEF +150%"
102193,Never-Ending Challenge,"""GT Heroes"" Category 
Ki +2 and HP, ATK & DEF +140%; 
or ""Vegeta's Family"" Category 
Ki +2 and HP, ATK & DEF +120%"
102194,Battle to Reach the Top,"""GT Heroes"" Category 
Ki +3 and HP, ATK & DEF +170%; 
or ""Vegeta's Family"" Category 
Ki +3 and HP, ATK & DEF +150%"
102195,Destined Brothers,"""Storied Figures"" or 
""Siblings' Bond"" Category 
Ki +2 and HP, ATK & DEF +100%"
102196,Power to Seal Evil,"""Storied Figures"" or 
""Siblings' Bond"" Category 
Ki +3 and HP, ATK & DEF +120%"
102197,True Heroes,"""Storied Figures"" or 
""Siblings' Bond"" Category 
Ki +3 and HP, ATK & DEF +150%"
102198,Engaged in a Fierce Fight,"""Super Saiyan 3"" Category 
Ki +3 and HP, ATK & DEF +120%; 
or TEQ Type Ki +3 and HP, ATK & DEF +90%"
102199,Massive Ki Released,"""Super Saiyan 3"" Category 
Ki +3 and HP, ATK & DEF +120%; 
or PHY Type Ki +3 and HP, ATK & DEF +90%"
102200,Metal-Clad Foe,"STR Type Ki +3 and HP, ATK & DEF +90% "
102201,Proof of a Hero,"TEQ Type Ki +2 and HP, ATK & DEF +50%"
102202,Sworn Friends,"""GT Heroes"" Category 
Ki +3 and HP, ATK & DEF +120%"
102203,Top-Notch Strength,"""GT Heroes"" Category 
Ki +2 and HP, ATK & DEF +100%"
102204,Earth-Protecting Fraternal Power,"""GT Heroes"" Category 
Ki +3 and HP, ATK & DEF +120%"
102205,Fight for the Divine Throne,"""Heavenly Events"" Category 
Ki +2 and HP, ATK & DEF +100%"
102206,Demon of Destruction and Vengeance,"""Heavenly Events"" Category 
Ki +3 and HP, ATK & DEF +120%"
102207,Combination of Top-Notch Technologies,"""GT Bosses"" or ""Androids"" Category 
Ki +2 and HP, ATK & DEF +100%"
102208,Key to Conquering the Galaxy,"""GT Bosses"" or ""Androids"" Category 
Ki +3 and HP, ATK & DEF +120%"
102209,Ceremony of Revenge,"""GT Bosses"" or ""Androids"" Category 
Ki +4 and HP, ATK & DEF +150%"
102210,Fated Duo,"""Saviors"" Category 
Ki +2 and HP, ATK & DEF +80%; 
or INT Type Ki +2 and HP, ATK & DEF +70%"
102211,Alliance of Good and Evil,"""Saviors"" Category 
Ki +3 and HP, ATK & DEF +100%; 
or INT Type Ki +3 and HP, ATK & DEF +90%"
102212,Rivals Acting in Concert,"""Saviors"" Category 
Ki +4 and HP, ATK & DEF +130%; 
or INT Type Ki +4 and HP, ATK & DEF +100%"
102215,Counterattack Lock-On,"""Time Limit"" Category 
Ki +2 and HP, ATK & DEF +100%"
102216,Furious Finish,"""Time Limit"" Category 
Ki +3 and HP, ATK & DEF +120%"
102217,Reunion in the Otherworld,"""Time Limit"" or ""Connected Hope"" Category 
Ki +2, HP +100% and ATK & DEF +130%"
102218,Clash in the Otherworld,"""Time Limit"" or ""Connected Hope"" Category 
Ki +2, HP +110% and ATK & DEF +150%"
102219,Fusion Reborn,"""Time Limit"" or ""Connected Hope"" Category 
Ki +3, HP +130% and ATK & DEF +170%"
102221,Young Warrior,"""Heavenly Events"" Category 
Ki +2 and HP, ATK & DEF +140%; 
or ""Bond of Master and Disciple"" Category 
Ki +2 and HP, ATK & DEF +120%"
102222,The Power to Protect,"""Heavenly Events"" Category 
Ki +3 and HP, ATK & DEF +170%; 
or ""Bond of Master and Disciple"" Category 
Ki +3 and HP, ATK & DEF +150%"
102226,Reunion in the Rain,"STR Type Ki +3 and HP, ATK & DEF +50%"
102227,Growth in Body and Mind,"STR Type Ki +3 and HP, ATK & DEF +70%"
102228,Brief Breather,"TEQ Type Ki +3 and HP, ATK & DEF +50%"
102230,Demon's Intuition,"""Heavenly Events"" Category 
Ki +2 and HP, ATK & DEF +30%"
102231,Teamwork for Victory,"""Heavenly Events"" Category 
Ki +3 and HP, ATK & DEF +50%"
102232,Professional Killer,"""DB Saga"" Category 
Ki +2 and HP, ATK & DEF +80%"
102233,Spine-Chilling Ability,"""DB Saga"" Category 
Ki +3 and HP, ATK & DEF +100%"
102234,Bloodstained Sanctuary,"""DB Saga"" Category 
Ki +4 and HP, ATK & DEF +130%"
102235,Spirited Challenge,"""Pure Saiyans"" Category 
Ki +3 and HP, ATK & DEF +77%"
102236,Pulse of the Crimson Divine Warriors,"""Power Beyond Super Saiyan"" or 
""Movie Heroes"" Category Ki +2 and 
HP, ATK & DEF +130%, plus an additional 
HP, ATK & DEF +10% for characters who 
also belong to the ""Kamehameha"" Category"
102237,Domain of Supremacy,"""Power Beyond Super Saiyan"" or 
""Movie Heroes"" Category Ki +3 and 
HP, ATK & DEF +150%, plus an additional 
HP, ATK & DEF +20% for characters who 
also belong to the ""Kamehameha"" Category"
102238,Divine Warriors with Infinite Power,"""Power Beyond Super Saiyan"" or 
""Movie Heroes"" Category Ki +3 and 
HP, ATK & DEF +170%, plus an additional 
HP, ATK & DEF +30% for characters who 
also belong to the ""Kamehameha"" Category"
102240,Impulse of the Fierce Warrior Race,"""Fused Fighters"" or ""GT Heroes"" Category 
Ki +2 and HP, ATK & DEF +130%, plus an 
additional HP, ATK & DEF +10% for characters 
who also belong to the ""Kamehameha"" Category"
102241,Transcendent Battle,"""Fused Fighters"" or ""GT Heroes"" Category 
Ki +3 and HP, ATK & DEF +150%, plus an 
additional HP, ATK & DEF +20% for characters 
who also belong to the ""Kamehameha"" Category"
102242,Saiyan Warriors with Ultimate Power,"""Fused Fighters"" or ""GT Heroes"" Category 
Ki +3 and HP, ATK & DEF +170%, plus an 
additional HP, ATK & DEF +30% for characters 
who also belong to the ""Kamehameha"" Category"
102244,Fighting in One's Homeland,"""Planet Namek Saga"" Category 
Ki +2 and HP, ATK & DEF +100%"
102245,Exceptional Wisdom,"""Planet Namek Saga"" Category 
Ki +3 and HP, ATK & DEF +130%"
102246,Escalating Nightmare,"""Sworn Enemies"" Category 
Ki +2 and HP, ATK & DEF +100%"
102247,Eerie Sense of Despair,"""Sworn Enemies"" Category 
Ki +3 and HP, ATK & DEF +130%"
102257,Freakish Change,"""Corroded Body and Mind"" or 
""Movie Bosses"" Category 
Ki +2 and HP, ATK & DEF +100%"
102258,Monster Drawn by Chaos,"""Corroded Body and Mind"" or 
""Movie Bosses"" Category 
Ki +3 and HP, ATK & DEF +120%"
102259,Boiling Evil,"""Corroded Body and Mind"" or 
""Movie Bosses"" Category 
Ki +4 and HP, ATK & DEF +150%"
102261,Final Battle on Planet Namek,"""Legendary Existence"" or 
""Super Saiyans"" Category Ki +2, 
HP & ATK +140% and DEF +120%"
102262,An Epic and Deadly Showdown,"""Legendary Existence"" or 
""Super Saiyans"" Category Ki +3, 
HP & ATK +150% and DEF +130%"
102263,Strike of Full Anger,"""Legendary Existence"" or 
""Super Saiyans"" Category Ki +3, 
HP & ATK +170% and DEF +150%"
102264,Wondrous Evolution,"""Mastered Evolution"" or 
""Pure Saiyans"" Category 
Ki +2, HP +100% and ATK & DEF +140%"
102265,Tenacious Secret Plan,"""Mastered Evolution"" or 
""Pure Saiyans"" Category 
Ki +3, HP +130% and ATK & DEF +170%"
102266,Exceptional Strength,"""GT Heroes"" Category 
Ki +2 and HP, ATK & DEF +100%"
102267,Angel of Universe 11,"""Universe 11"" Category 
Ki +2 and HP, ATK & DEF +100%"
102268,Universe of Justice's Instructor,"""Universe 11"" Category 
Ki +3 and HP, ATK & DEF +130%"
102269,Dramatic Progress,"""Androids/Cell Saga"" Category 
Ki +2 and HP, ATK & DEF +100%"
102270,Wicked Life Form's Superiority Complex,"""Androids/Cell Saga"" Category 
Ki +3 and HP, ATK & DEF +130%"
102271,Skillful Seduction,"""Peppy Gals"" Category 
Ki +2 and HP, ATK & DEF +100%"
102272,Temptress' Surprise Attack,"""Peppy Gals"" Category 
Ki +3 and HP, ATK & DEF +130%"
102273,Battle for the Universe's Strongest,"""Sworn Enemies"" or 
""Planet Namek Saga"" Category Ki +2, 
HP & ATK +140% and DEF +120%"
102274,Battle Prowess Fully Unleashed,"""Sworn Enemies"" or 
""Planet Namek Saga"" Category Ki +3, 
HP & ATK +150% and DEF +130%"
102275,Roar of Resentment,"""Sworn Enemies"" or 
""Planet Namek Saga"" Category Ki +3, 
HP & ATK +170% and DEF +150%"
102276,A New Story Unfolds,"All Types Ki +2 and HP, ATK & DEF +40%"
102277,Soaring Flying Nimbus,"All Types Ki +3 and HP, ATK & DEF +50%"
102278,Furious Counterattack,"All Types Ki +3 and HP, ATK & DEF +59%"
102279,Courteous Son,"""Exploding Rage"" Category 
Ki +2 and HP, ATK & DEF +80%"
102280,Power Level Surpassing His Father's,"""Exploding Rage"" Category 
Ki +3 and HP, ATK & DEF +100%"
102281,Power in a Pinch,"""Exploding Rage"" Category 
Ki +4 and HP, ATK & DEF +130%"
102282,Remarkable Battlefield Divas,"""Bond of Friendship"" or ""Rapid Growth"" Category 
Ki +2, HP +100% and ATK & DEF +140%"
102283,Miracle of Friendship,"""Bond of Friendship"" or ""Rapid Growth"" Category 
Ki +3, HP +130% and ATK & DEF +170%"
102285,Warrior of Sadala,"""Bond of Master and Disciple"" Category 
Ki +2 and HP, ATK & DEF +100%"
102286,A Promise to Master,"""Bond of Master and Disciple"" Category 
Ki +3 and HP, ATK & DEF +130%"
102287,Preparations Made Before the Final Battle,"""Planet Namek Saga"" Category 
Ki +2 and HP, ATK & DEF +30%"
102288,Strategy to Defeat the Emperor,"""Planet Namek Saga"" Category 
Ki +3 and HP, ATK & DEF +50%"
102292,Adventure on Planet Namek,"""Rapid Growth"" Category 
Ki +2 and HP, ATK & DEF +80%; 
or AGL Type Ki +2 and HP, ATK & DEF +70%"
102293,Swift Attacks in Sync,"""Rapid Growth"" Category 
Ki +3 and HP, ATK & DEF +100%; 
or AGL Type Ki +3 and HP, ATK & DEF +90%"
102294,Dilemma on the Battlefield,"""Rapid Growth"" Category 
Ki +4 and HP, ATK & DEF +130%; 
or AGL Type Ki +4 and HP, ATK & DEF +100%"
102296,Eruption of Golden Ki,"""Turtle School"" Category 
Ki +3 and HP, ATK & DEF +120%; 
or all Types Ki +3 and HP, ATK & DEF +70%"
102297,Desperate Rebellion,"""Space-Traveling Warriors"" Category 
Ki +3 and HP, ATK & DEF +35%"
102298,Furious Oppression,"""Space-Traveling Warriors"" Category 
Ki +3 and HP, ATK & DEF +35%"
102299,Clever and Rational Staff,"""Space-Traveling Warriors"" Category 
Ki +2 and HP, ATK & DEF +30%"
102300,Followers of His Ideals,"""Space-Traveling Warriors"" Category 
Ki +3 and HP, ATK & DEF +50%"
102302,Terrifying Ambition,"""Planet Namek Saga"" Category 
Ki +2 and HP, ATK & DEF +80%; 
or INT Type Ki +2 and HP, ATK & DEF +70%"
102303,Extraordinary Speed of Growth,"""Planet Namek Saga"" Category 
Ki +3 and HP, ATK & DEF +100%; 
or INT Type Ki +3 and HP, ATK & DEF +90%"
102304,Saiyan Pride,"""Planet Namek Saga"" Category 
Ki +4 and HP, ATK & DEF +130%; 
or INT Type Ki +4 and HP, ATK & DEF +100%"
102305,Enraged Transformation,"""Turtle School"" Category 
Ki +2 and HP, ATK & DEF +100%"
102306,Caught Between Illness and Adversary,"""Turtle School"" Category 
Ki +3 and HP, ATK & DEF +130%"
102307,Trump Cards of Universe 6 and Universe 7,"""Accelerated Battle"" or 
""Universe Survival Saga"" Category 
Ki +2 and HP, ATK & DEF +100%"
102308,Cooperation Between Counterpart Universes,"""Accelerated Battle"" or 
""Universe Survival Saga"" Category 
Ki +3 and HP, ATK & DEF +120%"
102309,Transcendent Light-Speed Battle Erupts,"""Accelerated Battle"" or 
""Universe Survival Saga"" Category 
Ki +4 and HP, ATK & DEF +150%"
102310,Intersection of Past and Present,"""Entrusted Will"" or 
""Androids/Cell Saga"" Category 
Ki +2, HP +100% and ATK & DEF +140%"
102311,Fate-Changing Messenger,"""Entrusted Will"" or 
""Androids/Cell Saga"" Category 
Ki +3, HP +130% and ATK & DEF +170%"
102313,Elite Warrior in His Early Days,"INT Type Ki +2 and HP, ATK & DEF +50%"
102315,Mad Android,"""Androids"" Category 
Ki +2 and HP, ATK & DEF +30%"
102316,Unusual Encounter and Mission,"""Androids"" Category 
Ki +3 and HP, ATK & DEF +50%"
102317,Tremendous Potential,"AGL Type Ki +2 and HP, ATK & DEF +70%"
102318,Leader of the Dark Empire,"""Crossover"" Category 
Ki +2 and HP, ATK & DEF +100%"
102319,Infinite Power of Darkness,"""Crossover"" Category 
Ki +3 and HP, ATK & DEF +130%"
102320,A Capable Secretary,"""Dragon Ball Heroes"" Category 
Ki +3 and HP, ATK & DEF +120%"
102321,Brainwashed by the Power of Darkness,"""Crossover"" Category 
Ki +3 and HP, ATK & DEF +120%"
102323,Time Patrol's Last Hope,"""Dragon Ball Heroes"" Category 
Ki +3 and HP, ATK & DEF +140%"
102324,Divine Warrior Who Protects Space and Time,"""Dragon Ball Heroes"" Category 
Ki +4 and HP, ATK & DEF +170%"
102325,Girl Who Travels through Space and Time,"""Crossover"" Category 
Ki +2 and HP, ATK & DEF +120%"
102326,Adventure in Another World,"""Crossover"" Category 
Ki +3 and HP, ATK & DEF +150%"
102327,Morale-Lifting Father-Son Fusion,"STR Type Ki +3 and HP, ATK & DEF +80%"
102328,Power to Overcome Crisis,"Super AGL Type 
Ki +3 and HP, ATK & DEF +100%"
102329,Wishing for a Peaceful History,"Super INT Type 
Ki +3 and HP, ATK & DEF +100%"
102330,Fierce Battle for Space and Time,"""Goku's Family"" Category 
Ki +3 and HP, ATK & DEF +130%"
102331,Confrontation with Unknown Enemies,"""Vegeta's Family"" Category 
Ki +3 and HP, ATK & DEF +130%"
102332,Treacherous Wizard,"""Crossover"" Category 
Ki +2 and HP, ATK & DEF +30%"
102333,Freezing Sorcery,"""Crossover"" Category 
Ki +3 and HP, ATK & DEF +50%"
102335,Future in Ruins,"""Worldwide Chaos"" or 
""Future Saga"" Category 
Ki +2 and HP, ATK & DEF +140%"
102336,Game of Death,"""Worldwide Chaos"" or 
""Future Saga"" Category 
Ki +3 and HP, ATK & DEF +170%"
102337,Killers Without Ki,"""Androids"" Category 
Ki +2 and HP, ATK & DEF +100%"
102338,Accumulated Bloodlust,"""Androids"" Category 
Ki +3 and HP, ATK & DEF +120%"
102339,Bright Hope,"""Crossover"" Category 
Ki +3 and HP, ATK & DEF +120%; 
or all Types Ki +3 and HP, ATK & DEF +70%"
102340,Battling in a Harsh World,"""Connected Hope"" or 
""Bond of Master and Disciple"" Category 
Ki +2 and HP, ATK & DEF +100%"
102341,Pillar of Resistance,"""Connected Hope"" or 
""Bond of Master and Disciple"" Category 
Ki +3 and HP, ATK & DEF +120%"
102342,Remaining Hope,"""Connected Hope"" or 
""Bond of Master and Disciple"" Category 
Ki +4 and HP, ATK & DEF +150%"
102345,For the Greatest Victory,"""Battle of Fate"" or 
""Accelerated Battle"" Category 
Ki +2, HP +100% and ATK & DEF +140%"
102346,Battle to Protect Tomorrow,"""Battle of Fate"" or 
""Accelerated Battle"" Category 
Ki +3, HP +130% and ATK & DEF +170%"
102348,Cataclysmic Awakening,"""Battle of Fate"" or 
""Majin Buu Saga"" Category 
Ki +2, HP & ATK +140% and DEF +100%"
102349,Majin of Destruction,"""Battle of Fate"" or 
""Majin Buu Saga"" Category 
Ki +3, HP & ATK +170% and DEF +130%"
102350,Number One Saiyan,"""Inhuman Deeds"" Category 
Ki +2 and HP, ATK & DEF +100%"
102351,Wounded Pride,"""Inhuman Deeds"" Category 
Ki +3 and HP, ATK & DEF +120%"
102352,Furious Last Resort,"""Inhuman Deeds"" or 
""Giant Ape Power"" Category 
Ki +4 and HP, ATK & DEF +150%"
102356,Terrifying Survival Instinct,"""Movie Bosses"" Category 
Ki +2 and HP, ATK & DEF +100%"
102357,Power Developed for Survival,"""Movie Bosses"" Category 
Ki +3 and HP, ATK & DEF +130%"
102358,Counterattack of the Dragon Balls,"""GT Bosses"" Category 
Ki +2 and HP, ATK & DEF +100%"
102359,Merciless Punishment,"""GT Bosses"" Category 
Ki +3 and HP, ATK & DEF +130%"
102360,Dangerous 3x Kaioken,"""All-Out Struggle"" Category 
Ki +2 and HP, ATK & DEF +100%"
102361,High-Stakes Level-Up,"""All-Out Struggle"" Category 
Ki +3 and HP, ATK & DEF +120%"
102362,Battle Against Limits,"""All-Out Struggle"" or 
""Final Trump Card"" Category 
Ki +4 and HP, ATK & DEF +150%"
102363,Evil-Slashing Blade,"STR Type Ki +3 and HP, ATK & DEF +30%"
102364,Astounding Fusion Technique,ATK & DEF +10% per Ki Sphere obtained
102365,Oozing Terror,"INT Type Ki +3 and HP, ATK & DEF +80%"
102366,Boundless Divine Power,"PHY Type Ki +3 and HP, ATK & DEF +80%"
102367,Rising Wickedness,"TEQ Type Ki +3 and HP, ATK & DEF +80%"
102368,Integration of Skills,"PHY Type Ki +3 and HP, ATK & DEF +80%"
102369,Space-Time Adventurer,"PHY Type Ki +3 and HP, ATK & DEF +50%"
102370,Comrade in the Pursuit of Dreams,"AGL Type Ki +3 and HP, ATK & DEF +50%"
102371,Ruthless Evil Fusion,"STR Type Ki +3 and HP, ATK & DEF +80%"
102372,All-Elite Force,"""Space-Traveling Warriors"" Category 
Ki +2 and HP, ATK & DEF +100%"
102373,Red and Blue Light Orbs,"""Space-Traveling Warriors"" Category 
Ki +3 and HP, ATK & DEF +130%"
102374,Assembled Secret Weapons,"""Planet Namek Saga"" Category 
Ki +2 and HP, ATK & DEF +100%"
102375,Brutal Power and Psychokinesis,"""Planet Namek Saga"" Category 
Ki +3 and HP, ATK & DEF +130%"
102376,First Big Job in Ages,"""Terrifying Conquerors"" or ""Planet Namek Saga"" 
Category Ki +2 and HP, ATK & DEF +130%, plus 
an additional HP, ATK & DEF +10% for characters who 
also belong to the ""Space-Traveling Warriors"" Category"
102377,Captain's Ace in the Hole,"""Terrifying Conquerors"" or ""Planet Namek Saga"" 
Category Ki +3 and HP, ATK & DEF +170%, plus 
an additional HP, ATK & DEF +30% for characters who 
also belong to the ""Space-Traveling Warriors"" Category"
102379,Mischievous Super Power,"""Gifted Warriors"" Category 
Ki +2 and HP, ATK & DEF +100%"
102380,Friends Joining a Serious Fight,"""Gifted Warriors"" Category 
Ki +3 and HP, ATK & DEF +130%"
102381,Razor-Sharp Swift Attack,"Super INT Type Ki +2 and HP, ATK & DEF +80%"
102382,"Worth 20,220,000 Zeni",A character for selling
102384,"100 Years Later, a New Chapter Unfolds","""GT Heroes"" Category 
Ki +2 and HP, ATK & DEF +30%"
102385,Promising Boys,"""GT Heroes"" Category 
Ki +3 and HP, ATK & DEF +50%"
102386,Legends of a New Generation,"""GT Heroes"" or 
""World Tournament"" Category 
Ki +3 and HP, ATK & DEF +80%"
102387,Promising 16-Year-Old,"""Hybrid Saiyans"" Category 
Ki +2 and HP, ATK & DEF +30%"
102388,Pure-Hearted Brothers,"""Hybrid Saiyans"" Category 
Ki +3 and HP, ATK & DEF +50%"
102389,Dream-Packed Future,"""Hybrid Saiyans"" or 
""Joined Forces"" Category 
Ki +3 and HP, ATK & DEF +80%"
102391,Super Power Behind the Mask,"AGL & TEQ Type 
Ki +3 and HP, ATK & DEF +30%"
102392,Long-Awaited Reunion,"""Goku's Family"" Category 
Ki +2 and HP, ATK & DEF +30%"
102393,Matrimonial Grand Adventure,"""Goku's Family"" Category 
Ki +3 and HP, ATK & DEF +50%"
102394,Limits and Anguish,"""Vegeta's Family"" Category 
Ki +2 and HP, ATK & DEF +30%"
102395,Matrimonial Bond,"""Vegeta's Family"" Category 
Ki +3 and HP, ATK & DEF +50%"
102397,A Lonely Battle,"""Majin Buu Saga"" or ""Vegeta's Family"" Category 
Ki +2 and HP, ATK & DEF +130%, plus an 
additional HP, ATK & DEF +10% for characters 
who also belong to the ""Gifted Warriors"" Category"
102398,Brief Paternal Moment,"""Majin Buu Saga"" or ""Vegeta's Family"" Category 
Ki +3 and HP, ATK & DEF +170%, plus an 
additional HP, ATK & DEF +30% for characters 
who also belong to the ""Gifted Warriors"" Category"
102400,Full-Throttle Focused Attack,"TEQ Type Ki +2 and HP, ATK & DEF +50%"
102401,Formidable Reputation,"AGL Type Ki +3 and HP, ATK & DEF +30%"
102402,Treasured Battle Device,"INT Type Ki +3 and HP, ATK & DEF +30%"
102403,An Invasion Bet on Primacy,"INT & PHY Types Ki +3 and HP, ATK & DEF +30%"
102404,Dignity of a Clan,"PHY Type Ki +3 and HP, ATK & DEF +30%"
102405,Cunning Threat,"""Saiyan Saga"" or ""Pure Saiyans"" Category 
Ki +2 and HP, ATK & DEF +130%, 
plus an additional HP, ATK & DEF +10% 
for characters who also belong to the 
""Space-Traveling Warriors"" Category"
102406,Unveiling of Power,"""Saiyan Saga"" or ""Pure Saiyans"" Category 
Ki +3 and HP, ATK & DEF +170%, 
plus an additional HP, ATK & DEF +30% 
for characters who also belong to the 
""Space-Traveling Warriors"" Category"
102407,Overwhelming Invasion,"""Saiyan Saga"" Category 
Ki +2 and HP, ATK & DEF +100%"
102408,Cruel Pursuit,"""Saiyan Saga"" Category 
Ki +3 and HP, ATK & DEF +130%"
102409,Storied Strength,"STR Type Ki +3 and HP, ATK & DEF +30%"
102410,Suspicious Undercover Activity,"""Special Pose"" Category 
Ki +2 and HP, ATK & DEF +30%"
